453785927;SOLD;2026-03-04;Cormate SU23;2022;899000;Kommer for salg: Cormate SU23 - V8 350HK Bravo 1 - Kun ca. 1
406294355;HIDDEN;2025-05-04;Goldfish 38 SuperSport;2019;2499000;Goldfish 38 SuperSport – Build no. 023 – Twin 430 HK - Kun c
422559732;PUBLISHED;2025-08-18;Saxdor 320 GTC;2023;2590000;Saxdor 320 GTC - 2023 - Skipsreg/finans - Godt utstyrt!
449190899;SOLD;2026-02-03;Axopar 28 Aft Cabin;2022;1350000;Axopar 28 Cabin - kun ca 100t!
435829929;SOLD;2025-11-07;Delphia 40.3;2009;969000;Bud mottatt! - Delphia 40.3 - flott familiebåt til lav pris!
422513924;EXPIRED;2025-09-10;;;2300000;Kunde ønsker båt -vi søker på vegne av kjøper en Bavaria Cr4
426240045;EXPIRED;2025-09-10;;;3800000;Kunde ønsker båt -vi søker på vegne av kjøper en Baltic 52!
426239168;EXPIRED;2025-09-10;;;3500000;Kunde ønsker båt -vi søker på vegne av kjøper en Hallberg Ra
426240939;EXPIRED;2025-09-10;;;2500000;Kunde ønsker båt -vi søker på vegne av kjøper en Hanse 470e
425556075;SOLD;2025-09-05;Ibiza 811 Touring;2017;949000;Ibiza 811 - Alt av utstyr - Kun 340 timer - Bud mottas!
432179917;SOLD;2025-10-16;Nord West 370 Coupé;2010;1990000;Nord West 370 Coupé - Utstyrsbombe -
441457432;EXPIRED;2025-12-11;;;2000000;Nord West 370 Coupé - ønskes kjøpt!
429763768;SOLD;2025-10-01;Colin Archer København Cruiser;1981;1099000;Colin Archer 40 - Nyrestaurert - Salg pågår
399126303;EXPIRED;2025-03-24;Nordic Ocean Craft 50 Catamaran;2017;3000000;Unik husbåt med panoramautsikt – lev, bo og ferier på sjøen!
429596993;SOLD;2025-09-30;Skorgenes 350 Fly;2007;1389000;Skorgenes Nordic 350 Fly - Volvo Penta D6 - Thrustere foran
426240641;EXPIRED;2025-09-10;;;700000;Vi søker en Fjord Terne 28 for kunde
415605676;SOLD;2025-07-05;Fairline Squadron 55;2002;3290000;Fairline Squadron 55 - Høstkupp - Gi bud
437115161;EXPIRED;2025-11-14;Cranchi Mediterranee;2005;1890000;Cranchi 47 Mediterranee
