# ----------------------------------------
# Sider og skjermer: Sidebane og skjermklasse
# Konto: House of Yachts
# Område: House of Yachts - GA4
# ----------------------------------------
# 
# Alle brukere
# Startdato: 20250101
# Sluttdato: 20260418
Sidebane og skjermklasse,Visninger,Aktive brukere,Visninger per aktive bruker,Gjennomsnittlig engasjementstid per aktive bruker,Antall hendelser,Viktige hendelser,Totale inntekter
/Baater/nordkapp-720-noblesse,27,24,1.125,38.958333333333336,93,0,0
/en/Baater/elan-power-35-ht,27,23,1.173913043478261,27.91304347826087,92,0,0
/Baater/nimbus-300r---2005-modell,26,19,1.368421052631579,14.578947368421053,74,0,0
/Baater/nordkapp-grand-coupe-905---2x300hk,26,23,1.1304347826086956,19.869565217391305,58,0,0
/en/Baater/grandezza-31-oc,26,23,1.1304347826086956,19.82608695652174,91,0,0
/en/Baater/nordic-ocean-craft-catamaran,26,24,1.0833333333333333,46.166666666666664,94,0,0
/en/blogg,26,23,1.1304347826086956,22.52173913043478,37,0,0
/post/solgt-goldfish-23-tender-mkiii,26,25,1.04,14.88,94,0,0
/post/solgt-nimbus-250r-mkii,26,17,1.5294117647058822,52.705882352941174,83,0,0
/Baater/bavaria-360-sport-open,25,17,1.4705882352941178,50.05882352941177,84,0,0
/Baater/goldfish-x12-endurance,25,24,1.0416666666666667,33.958333333333336,85,0,0
/Baater/nimbus-35-nova-ht,25,20,1.25,25.1,76,0,0
/Baater/nimbus-35-nova-ht---2008,25,19,1.3157894736842106,70.57894736842105,64,0,0
/blogg/categories/markedsnyheter,25,22,1.1363636363636365,11.409090909090908,40,0,0
/en/Baater/fairline-targa-37,25,22,1.1363636363636365,18.59090909090909,82,0,0
/Baater/azimut-47-fly,24,11,2.1818181818181817,87.18181818181819,71,0,0
/Baater/goldfish-23-tender---2018,24,23,1.0434782608695652,14,68,0,0
/en/Baater/ibiza-811-touring,24,12,2,23.833333333333332,68,0,0
/post/solgt-goldfish-28-rib,24,18,1.3333333333333333,16,76,0,0
/en/Baater/hanse-548,23,16,1.4375,81.375,54,0,0
/post/stormway-925-rib-selges,23,17,1.3529411764705883,10.352941176470589,73,0,0
/en/Baater/goldfish-30-sport---diesel,22,17,1.2941176470588236,30.764705882352942,59,0,0
/post/prisreduksjon-stormway-925-rib,22,14,1.5714285714285714,38.714285714285715,67,0,0
/post/targa-27-1-for-salg,22,13,1.6923076923076923,16.76923076923077,57,0,0
/Baater/bavaria-e34-fly,21,17,1.2352941176470589,30.647058823529413,43,0,0
/Baater/bayliner-avanti-4085-express-cruiser,21,13,1.6153846153846154,97,69,0,0
/Baater/flipper-760-dc,21,19,1.105263157894737,6.368421052631579,66,0,0
/Baater/goldfish-30-sport---2022,21,17,1.2352941176470589,10.764705882352942,56,0,0
/Baater/nimbus-320-coupè---2003,21,21,1,29.61904761904762,77,1,0
/Baater/stormway-925-rib,21,8,2.625,3,36,0,0
/blogg/categories/månedens-båt,21,21,1,30.428571428571427,37,0,0
/en/Baater/hydrolift-c-27,21,17,1.2352941176470589,18.58823529411765,62,0,0
/en/Baater/nimbus-w9,21,16,1.3125,33.25,67,0,0
/en/Baater/sunseeker-44-camargue,21,10,2.1,68.9,65,0,0
/post/hiv-og-hoy-ep-34,21,21,1,25.80952380952381,79,0,0
/post/ledig-stilling-detailer-båtklargjører,21,20,1.05,38.95,42,0,0
/post/nimbus-35-nova-ht-for-salg,21,17,1.2352941176470589,16.470588235294116,68,0,0
/Baater/axopar-37-cabin,20,15,1.3333333333333333,21.8,66,0,0
/Baater/bavaria-37-cruiser---2006,20,15,1.3333333333333333,67.66666666666667,65,0,0
/Baater/lagoon-560-s2,20,13,1.5384615384615385,80.61538461538461,38,0,0
/en/Baater/goldfish-30-sport---2021-,20,16,1.25,32.1875,23,0,0
/post/arctic-blue-27-mkii,20,18,1.1111111111111112,3.7777777777777777,59,0,0
/Baater/chris-craft-carina-21,19,17,1.1176470588235294,42.76470588235294,60,0,0
/en/Baater/paragon-25-cabin,19,11,1.7272727272727273,75.72727272727273,52,0,0
/post/prisreduksjon-goldfish-29-sport,19,14,1.3571428571428572,28.571428571428573,59,0,0
/post/slik-tar-du-gode-bilder-av-båten,19,16,1.1875,34.75,65,0,0
/Baater/marex-360-cc---2022,18,14,1.2857142857142858,12.857142857142858,52,0,0
/en/Baater/bostrøm-31-mki,18,2,9,530,51,0,0
/en/sail-division,18,14,1.2857142857142858,14.285714285714286,32,0,0
/Baater/axopar-37-sports-cabin,17,13,1.3076923076923077,24.153846153846153,53,0,0
/Baater/cranchi-47-mediterranee,17,14,1.2142857142857142,29,29,0,0
/Baater/modesty-33-sc,17,17,1,51.23529411764706,51,0,0
