wix_title,wix_url,wix_year,wix_updated,orig_status,deal_match,n_exact,n_loose,candidates
Goldfish 30 Sport #002,goldfish-30-sport,2021,2025-09-08,EXACT_SLUG_PLUS_SIG_DUPES,LOOSE_MULTI,0,5,"LOOSE id=351479119073 name=""Goldfish 30 Sport - 2023"" path=goldfish-30-sport-2023 year=2023 status=None #deals=1 ||| LOOSE id=351481042122 name=""Goldfish 30 Sport"" path=goldfish-30-sport year=2022 status=None #deals=1 ||| LOOSE id=351481042124 name=""Goldfish 30 Sport"" path=goldfish-30-sport-2 year=2022 status=None #deals=1 ||| LOOSE id=351482911944 name=""Goldfish 30 Sport"" path=goldfish-30-sport-3 year=2021 status=sold #deals=1"
Axopar 37,axopar-37-,2018,2020-02-03,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Marex 360 CC,marex-360-cc,2021,2024-08-30,EXACT_SLUG_PLUS_SIG_DUPES,NONE,0,0,
Beneteau Swift Trawler 34,beneteau-swift-trawler-34,2011,2020-02-03,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Askeladden C83,askeladden-c83,2021,2025-07-09,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,2,0,"EXACT id=351443280105 name=""Askeladden C83"" path=askeladden-c83 year=2021 status=None #deals=1 ||| EXACT id=351475308733 name=""Askeladden c83"" path=askeladden-c83-2 year=2021 status=None #deals=1"
Goldfish 30 Sport - 2022 #023,goldfish-30-sport---2022-%23023,2022,2024-05-30,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,5,"LOOSE id=351479119073 name=""Goldfish 30 Sport - 2023"" path=goldfish-30-sport-2023 year=2023 status=None #deals=1 ||| LOOSE id=351481042122 name=""Goldfish 30 Sport"" path=goldfish-30-sport year=2022 status=None #deals=1 ||| LOOSE id=351481042124 name=""Goldfish 30 Sport"" path=goldfish-30-sport-2 year=2022 status=None #deals=1 ||| LOOSE id=351482911944 name=""Goldfish 30 Sport"" path=goldfish-30-sport-3 year=2021 status=sold #deals=1"
Goldfish 23 Tender mkIII,goldfish-23-tender-mkiii,2021,2023-07-15,NO_MATCH_IN_HUBSPOT,NONE,0,0,
Goldfish 28 Tender #069,goldfish-28-tender-%23069,2023,2025-07-28,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,7,"LOOSE id=351443141853 name=""Goldfish 28 Tender"" path=goldfish-28-tender year=None status=None #deals=1 ||| LOOSE id=351482888432 name=""Goldfish 28 Tender"" path=goldfish-28-tender-2 year=None status=None #deals=1 ||| LOOSE id=351482888440 name=""Goldfish 28 Tender"" path=goldfish-28-tender-3 year= status=None #deals=1 ||| LOOSE id=351456244951 name=""Goldfish 28 Tender"" path=goldfish-28-tender-4 year=2022 status=for-sale #deals=2"
Nimbus 300R,nimbus-300r,2006,2020-02-03,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,11,0,"EXACT id=351443213549 name=""Nimbus 300R"" path=nimbus-300r-2 year=None status=None #deals=1 ||| EXACT id=351443213554 name=""Nimbus 300R"" path=nimbus-300r-3 year=None status=None #deals=1 ||| EXACT id=351443213556 name=""Nimbus 300R"" path=nimbus-300r year=None status=None #deals=1 ||| EXACT id=351388463321 name=""Nimbus 300R"" path=nimbus-300r-5 year=None status=None #deals=1 ||| EXACT id=351388463329 name=""Nimbus 300R"" path=nimbus-300r-4 year=None status=None #deals=1 ||| EXACT id=351414280420 name=""Nimbus 300R"" path=nimbus-300r-6 year=None status=None #deals=1 ||| EXACT id=351482888430 name=""Nimbus 300R"" path=nimbus-300r-7 year=None status=None #deals=1 ||| EXACT id=351443310787 name=""Nimbus 300R"" path=nimbus-300r-8 year=None status=None #deals=1 ||| EXACT id=351459866835 name=""Nimbus 300R "" path=nimbus-300r-9 year=2005 status=sold #deals=2 ||| EXACT id=351459866838 name=""Nimbus 300R"" path=nimbus-300r-10 year=None status=None #deals=2 ||| EXACT id=351479119065 name=""Nimbus 300R"" path=nimbus-300r-11 year=2006 status=None #deals=1"
Goldfish 30 Sport - 2021 #009,goldfish-30-sport---2021-%23009,2021,2025-06-24,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,5,"LOOSE id=351479119073 name=""Goldfish 30 Sport - 2023"" path=goldfish-30-sport-2023 year=2023 status=None #deals=1 ||| LOOSE id=351481042122 name=""Goldfish 30 Sport"" path=goldfish-30-sport year=2022 status=None #deals=1 ||| LOOSE id=351481042124 name=""Goldfish 30 Sport"" path=goldfish-30-sport-2 year=2022 status=None #deals=1 ||| LOOSE id=351482911944 name=""Goldfish 30 Sport"" path=goldfish-30-sport-3 year=2021 status=sold #deals=1"
Goldfish 28 Tender #60,goldfish-28-tender-%2360,2022,2025-07-04,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,7,"LOOSE id=351443141853 name=""Goldfish 28 Tender"" path=goldfish-28-tender year=None status=None #deals=1 ||| LOOSE id=351482888432 name=""Goldfish 28 Tender"" path=goldfish-28-tender-2 year=None status=None #deals=1 ||| LOOSE id=351482888440 name=""Goldfish 28 Tender"" path=goldfish-28-tender-3 year= status=None #deals=1 ||| LOOSE id=351456244951 name=""Goldfish 28 Tender"" path=goldfish-28-tender-4 year=2022 status=for-sale #deals=2"
Targa 44 Fly,targa-44-fly,2012,2024-01-26,SIGNATURE_MATCH_ONLY,NONE,0,0,
Nimbus 320 Coupè - 2003,nimbus-320-coup%C3%A8---2003,2003,2020-03-14,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,3,"LOOSE id=351443213555 name=""Nimbus 320 Coupé"" path=nimbus-320-coupe-2 year=None status=None #deals=1 ||| LOOSE id=351443213558 name=""Nimbus 320 Coupé"" path=nimbus-320-coupe year=None status=None #deals=1 ||| LOOSE id=351482888422 name=""Nimbus 320 Coupé"" path=nimbus-320-coupe-4 year=None status=None #deals=1"
Nordkapp 720 Noblesse,nordkapp-720-noblesse,2022,2022-07-05,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351443310789 name=""Nordkapp 720 Noblesse"" path=nordkapp-720-noblesse year=None status=None #deals=1"
Paragon 25 Cabin,paragon-25-cabin,2009,2025-10-30,EXACT_SLUG_PLUS_SIG_DUPES,NONE,0,0,
Goldfish 28 Tender,goldfish-28-tender,2011,2020-02-03,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,7,0,"EXACT id=351443141853 name=""Goldfish 28 Tender"" path=goldfish-28-tender year=None status=None #deals=1 ||| EXACT id=351482888432 name=""Goldfish 28 Tender"" path=goldfish-28-tender-2 year=None status=None #deals=1 ||| EXACT id=351482888440 name=""Goldfish 28 Tender"" path=goldfish-28-tender-3 year= status=None #deals=1 ||| EXACT id=351456244951 name=""Goldfish 28 Tender"" path=goldfish-28-tender-4 year=2022 status=for-sale #deals=2 ||| EXACT id=351479119075 name=""Goldfish 28 Tender"" path=goldfish-28-tender-5 year=2017 status=None #deals=1 ||| EXACT id=351475308734 name=""Goldfish 28 Tender "" path=goldfish-28-tender-6 year=2023 status=None #deals=1 ||| EXACT id=351445109976 name=""Goldfish 28 tender"" path=goldfish-28-tender-8 year=2022 status=None #deals=1"
Axopar 28 Cabin,axopar-28-cabin,2022,2024-01-26,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=415023950012 name=""Axopar 28 Cabin"" path=None year=None status=None #deals=1"
Goldfish 28 Bullet #024,goldfish-28-bullet-%23024,2021,2025-09-17,MULTIPLE_SIG_CANDIDATES,EXACT_1,1,2,"EXACT id=351443263688 name=""Goldfish 28 Bullet #024"" path=goldfish-28-bullet-024 year=2021 status=for-sale #deals=1 ||| LOOSE id=351475307767 name=""Goldfish 28 Bullet"" path=goldfish-28-bullet year=2023 status=None #deals=1 ||| LOOSE id=351443090620 name=""Goldfish 28 Bullet"" path=goldfish-28-bullet-3 year=2020 status=None #deals=1"
Nimbus 230R,nimbus-230r,2006,2019-07-18,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,5,0,"EXACT id=351388463331 name=""Nimbus 230R"" path=nimbus-230r year=None status=None #deals=1 ||| EXACT id=351482888419 name=""Nimbus 230R"" path=nimbus-230r-2 year=None status=None #deals=1 ||| EXACT id=351443229934 name=""Nimbus 230R"" path=nimbus-230r-3 year=2007 status=None #deals=1 ||| EXACT id=351482911946 name=""Nimbus 230R"" path=nimbus-230r-5 year=2011 status=None #deals=2 ||| EXACT id=351443262695 name=""Nimbus 230R"" path=nimbus-230r-6 year=2007 status=for-sale #deals=1"
Bavaria E34 Fly,bavaria-e34-fly,2019,2024-01-26,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Nimbus 230R - 2007,nimbus-230r---2007,2007,2025-09-08,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,5,"LOOSE id=351388463331 name=""Nimbus 230R"" path=nimbus-230r year=None status=None #deals=1 ||| LOOSE id=351482888419 name=""Nimbus 230R"" path=nimbus-230r-2 year=None status=None #deals=1 ||| LOOSE id=351443229934 name=""Nimbus 230R"" path=nimbus-230r-3 year=2007 status=None #deals=1 ||| LOOSE id=351482911946 name=""Nimbus 230R"" path=nimbus-230r-5 year=2011 status=None #deals=2"
Paragon 31 Fly,paragon-31-fly,2014,2025-06-18,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,2,0,"EXACT id=351479119064 name=""Paragon 31 Fly"" path=paragon-31-fly year=2014 status=None #deals=1 ||| EXACT id=351481058528 name=""Paragon 31 Fly"" path=paragon-31-fly-4 year=2009 status=None #deals=1"
Goldfish 29 Sport - 2020,goldfish-29-sport---2020,2020,2021-05-18,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,3,"LOOSE id=351443213561 name=""Goldfish 29 Sport"" path=goldfish-29-sport year=None status=None #deals=1 ||| LOOSE id=351443201214 name=""Goldfish 29 Sport"" path=goldfish-29-sport-2 year=None status=None #deals=1 ||| LOOSE id=351459866843 name=""Goldfish 29 Sport"" path=goldfish-29-sport-3 year=None status=None #deals=1"
Goldfish 30 Sport #038,goldfish-30-sport-%23038,2023,2025-02-28,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,5,"LOOSE id=351479119073 name=""Goldfish 30 Sport - 2023"" path=goldfish-30-sport-2023 year=2023 status=None #deals=1 ||| LOOSE id=351481042122 name=""Goldfish 30 Sport"" path=goldfish-30-sport year=2022 status=None #deals=1 ||| LOOSE id=351481042124 name=""Goldfish 30 Sport"" path=goldfish-30-sport-2 year=2022 status=None #deals=1 ||| LOOSE id=351482911944 name=""Goldfish 30 Sport"" path=goldfish-30-sport-3 year=2021 status=sold #deals=1"
Brig Eagle 8 Hankø Edition,brig-eagle-8-hank%C3%B8-edition,2023,2024-06-06,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Goldfish X12 Endurance,goldfish-x12-endurance,2019,2020-09-29,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Nimbus 320 Coupé,nimbus-320-coup%C3%A9,2003,2019-05-15,MULTIPLE_SIG_CANDIDATES,EXACT_MULTI,3,0,"EXACT id=351443213555 name=""Nimbus 320 Coupé"" path=nimbus-320-coupe-2 year=None status=None #deals=1 ||| EXACT id=351443213558 name=""Nimbus 320 Coupé"" path=nimbus-320-coupe year=None status=None #deals=1 ||| EXACT id=351482888422 name=""Nimbus 320 Coupé"" path=nimbus-320-coupe-4 year=None status=None #deals=1"
Bavaria 330 Sport HT,bavaria-330-sport-ht,2016,2024-01-26,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Bavaria 37 AC,bavaria-37-ac,2000,2019-05-15,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Askeladden C83 Cruiser,askeladden-c83-cruiser,2021,2024-01-26,EXACT_SLUG_PLUS_SIG_DUPES,NONE,0,0,
