wix-to-hubspot-match-report
Keep;wix_title;wix_url;wix_merke;wix_modell;wix_year;wix_length_ft;wix_sold;wix_updated;match_status;slug_matches;signature_matches;match_details
;Nordkapp Airborne 7;nordkapp-airborne-7;Nordkapp;Airborne 7;2021;22 fot;sold;2023-04-16;MULTIPLE_SIG_CANDIDATES;0;4;id=351479119067 path=nordkapp-noblesse-720 brand=Nordkapp model=Noblesse 720 year=2021 status=None act=yes ||| id=351482911932 path=nordkapp-gran-coupe-905-2 brand=Nordkapp model=Nordkapp Gran Coupe 905 year=2021 status=None act=yes ||| id=351443262703 path=nordkapp-905-grand-coupe-2 brand=Nordkapp model=905 Grand Coupe year=2021 status=None act=yes ||| id=351446935767 path=nordkapp-905-grand-coupe-3 brand=Nordkapp model=Nordkapp 905 Grand Coupe year=2021 status=None act=yes
;Goldfish 28 Tender Merc 400R;goldfish-28-tender-merc-400r;Goldfish;28 Tender;2017;28 fot;sold;2025-05-20;MULTIPLE_SIG_CANDIDATES;0;4;id=351479119075 path=goldfish-28-tender-5 brand=Goldfish model=28 Tender year=2017 status=None act=yes ||| id=351419698418 path=goldfish-28-tender-037 brand=Goldfish model=28 Tender year=2017 status=None act=yes ||| id=351414280434 path=goldfish-28-tender-2017 brand=Goldfish model=28 Tender year=2017 status=None act=yes ||| id=351446935766 path=goldfish-29-sport-6 brand=Goldfish model=Goldfish 29 Sport year=2017 status=None act=yes
;Nimbus 300R - 2005 modell;nimbus-300r---2005-modell;Nimbus;300R;2005;30 fot;sold;2022-06-08;MULTIPLE_SIG_CANDIDATES;0;5;id=351459866835 path=nimbus-300r-9 brand=Nimbus model=300R year=2005 status=sold act=yes ||| id=351456244960 path=24028-nimbus-380-commander brand=Nimbus model=380 Commander year=2005 status=None act=yes ||| id=351443229917 path=nimbus-nova-230-r brand=Nimbus model=230 R year=2005 status=None act=yes ||| id=351479077112 path=nimbus-380-commander-2 brand=Nimbus model=380 Commander year=2005 status=None act=yes ||| id=351443293403 path=nimbus-230r-4 brand=Nimbus model=230R year=2005 status=None act=yes
;Jeanneau Sun Odyssey 519;jeanneau-sun-odyssey-519;Jeanneau;SO 519;2018;51,8 fot;;2025-07-23;EXACT_SLUG_MATCH;1;0;id=351443214565 path=jeanneau-sun-odyssey-519 brand=Jeanneau model=Sun Odyssey 519 year=2018 status=None act=yes
;Nordic Ocean Craft Catamaran;nordic-ocean-craft-catamaran;Nordic Ocean Craft;50 Catamaran;2017;49 fot;sold;2023-04-16;SIGNATURE_MATCH_ONLY;0;1;id=351443201219 path=25001-lh2160-nordic-oceancraft-cat-50 brand=Nordic Ocean Craft model=25001 - LH2160 Nordic Oceancraft Cat 50 year=2017 status=None act=yes
;Delphia 40.3;delphia-40.3;Delphia;40.3;2009;40 fot;sold;2026-02-23;SIGNATURE_MATCH_ONLY;0;1;id=351443262706 path=delphia-403 brand=Delphia model=40.3 year=2009 status=None act=yes
X;Hanse 355;hanse-355;Hanse;355;2011;35 fot;sold;2021-06-30;EXACT_SLUG_PLUS_SIG_DUPES;1;1;id=351443141855 path=hanse-355 brand=Hanse model=Hanse 355 year= status=None act=yes ||| id=351443294395 path=hanse-445-3 brand=Hanse model=445 year=2011 status=None act=yes
X;Nimbus 300R;nimbus-300r;Nimbus;300R;2005;30 fot;sold;2020-02-03;EXACT_SLUG_PLUS_SIG_DUPES;1;5;id=351443213556 path=nimbus-300r brand=Nimbus model=Nimbus 300R year=None status=None act=yes ||| id=351459866835 path=nimbus-300r-9 brand=Nimbus model=300R year=2005 status=sold act=yes ||| id=351456244960 path=24028-nimbus-380-commander brand=Nimbus model=380 Commander year=2005 status=None act=yes ||| id=351443229917 path=nimbus-nova-230-r brand=Nimbus model=230 R year=2005 status=None act=yes ||| id=351479077112 path=nimbus-380-commander-2 brand=Nimbus model=380 Commander year=2005 status=None act=yes ||| id=351443293403 path=nimbus-230r-4 brand=Nimbus model=230R year=2005 status=None act=yes
;Sandvik 945;sandvik-945;Sandvik;945;1998;31 fot;sold;2020-05-08;EXACT_SLUG_MATCH;1;0;id=351482888434 path=sandvik-945 brand=Sandvik model=Sandvik 945 year=None status=None act=yes
;Nimbus 250R;nimbus-250r;Nimbus;250R;2001;25 fot;sold;2020-02-03;EXACT_SLUG_MATCH;1;0;id=351443213557 path=nimbus-250r brand=Nimbus model=Nimbus 250R year=None status=None act=yes
X;Bavaria 37 Cruiser;bavaria-37-cruiser;Bavaria;37 Cruiser;2006;37 fot;sold;2019-05-15;EXACT_SLUG_PLUS_SIG_DUPES;1;4;id=351443213550 path=bavaria-37-cruiser brand=Bavaria model=Bavaria 37 Cruiser year=None status=None act=yes ||| id=351481028816 path=23030-bavaria-37-crusier brand=Bavaria model=23030 - Bavaria 37 Crusier year=2006 status=None act=yes ||| id=351481042117 path=24013-bavaria-39-cr brand=Bavaria model=Cruiser year=2006 status=None act=yes ||| id=351443262709 path=bavaria-37-cruiser-7 brand=Bavaria model=37 Cruiser year=2006 status=None act=yes ||| id=398898745531 path=None brand=Bavaria model=None year=2006 status=None act=None
;Marex 360 CC - 2022;marex-360-cc---2022;Marex;360 CC;2022;36 fot;sold;2024-05-16;SIGNATURE_MATCH_ONLY;0;1;id=351443280112 path=23033-marex-360-cc brand=Marex model=360 CC year=2022 status=None act=yes
;Saxdor 320 GTC;saxdor-320-gtc;Saxdor;320 GTC;2023;34 fot;;2026-03-04;EXACT_SLUG_MATCH;1;0;id=351482911937 path=saxdor-320-gtc brand=Saxdor model=320 GTC year=2023 status=for-sale act=yes
X;Windy 35 Khamsin;windy-35-khamsin;Windy;35 Khamsin;2007;35 fot;sold;2023-07-15;EXACT_SLUG_PLUS_SIG_DUPES;1;7;id=351443214533 path=windy-35-khamsin brand=Windy model=35 Khamsin year=2008 status=None act=yes ||| id=351481028812 path=23013-windy-35-khamsin brand=Windy model=35 Khamsin year=2007 status=None act=yes ||| id=351481005279 path=windy-42-grand-bora brand=Windy model=Windy 42 Grand Bora year=2007 status=None act=yes ||| id=351443214537 path=windy-35-khasmin brand=Windy model=Windy 35 Khasmin year=2007 status=None act=yes ||| id=351446910151 path=windy-ghibli-tjme brand=Windy model=Windy Ghibli Tjøme year=2007 status=None act=yes ||| id=351446910158 path=windy-ghibli-oslo-proffe-bilder brand=Windy model=Windy Ghibli Oslo proffe bilder year=2007 status=None act=yes ||| id=351480981723 path=windy-grand-mistral-37-4 brand=Windy model=Windy Grand Mistral 37 year=2007 status=None act=yes ||| id=360565063895 path=None brand=Windy model=None year=2007 status=None act=no
;Goldfish 29 Sport - 2015;goldfish-29-sport---2015;Goldfish;29 Sport;2015;31 fot;sold;2021-03-09;NO_MATCH_IN_HUBSPOT;0;0;
;Grandezza 27S;grandezza-27s;Grandezza;27S;2016;27 fot;;2025-08-14;EXACT_SLUG_MATCH;1;0;id=351479119078 path=grandezza-27s brand=Grandezza model=27S year=2016 status=None act=yes
;Goldfish 28 Tender #001;goldfish-28-tender-%23001;Goldfish;28 Tender;2011;28 fot;sold;2025-06-11;MULTIPLE_SIG_CANDIDATES;0;4;id=351479077103 path=goldfish-tender-28-nr-001 brand=Goldfish model=Tender 28 year=2011 status=sold act=yes ||| id=351479078075 path=goldfish-29-rib-tender brand=Goldfish model=29 RIB Tender year=2011 status=for-sale act=yes ||| id=351390253247 path=goldfish-29-rib-tender-2 brand=Goldfish model=Goldfish 29 RIB tender year=2011 status=None act=yes ||| id=351446910184 path=goldfish-29-rib-tender-3 brand=Goldfish model=Goldfish 29 RIB Tender year=2011 status=None act=yes
;Seaside 23 - 2023;seaside-23---2023;Seaside;23;2023;23 fot;;2025-08-19;MULTIPLE_SIG_CANDIDATES;0;2;id=351417864418 path=seaside-23 brand=Seaside model=Seaside 23 year=2023 status=None act=yes ||| id=351482911943 path=seaside-23-2 brand=Seaside model=SeaSide 23 year=2023 status=None act=yes
;Windy 7500;windy-7500;Windy;7500;2000;25 fot;sold;2020-04-22;SIGNATURE_MATCH_ONLY;0;1;id=351481058521 path=windy-grand-mistral-37-3 brand=Windy model=Windy Grand Mistral 37 year=2000 status=None act=yes
X;Bavaria 40 Cruiser;bavaria-40-cruiser;Bavaria;40 Cruiser;2011;41 fot;sold;2019-06-05;EXACT_SLUG_PLUS_SIG_DUPES;1;4;id=351443141854 path=bavaria-40-cruiser brand=Bavaria model=Bavaria 40 Cruiser year=None status=None act=yes ||| id=351480934641 path=bavaria-cruiser-40s brand=Bavaria model=Bavaria Cruiser 40S year=2011 status=None act=yes ||| id=351480935612 path=bavaria-34-sport brand=Bavaria model=Bavaria 34 Sport year=2011 status=None act=yes ||| id=351445109970 path=bavaria-38-sport-frekkstad brand=Bavaria model=Bavaria 38 Sport (Frekkstad) year=2011 status=None act=yes ||| id=351443281088 path=bavaria-38-ht brand=Bavaria model=38HT year=2011 status=None act=yes
X;Bavaria 40 Vision;bavaria-40-vision;Bavaria;40 Vision;2008;40 fot;sold;2022-07-05;EXACT_SLUG_PLUS_SIG_DUPES;1;7;id=351443310801 path=bavaria-40-vision brand=Bavaria model=Bavaria 40 Vision year=None status=None act=yes ||| id=351414280411 path=bavaria-44-vision brand=Bavaria model=Bavaria 44 Vision year=2008 status=None act=yes ||| id=350048534737 path=bavaria-38-cruiser-2 brand=Bavaria model=Bavaria 38 Cruiser year=2008 status=None act=yes ||| id=351446910175 path=bavaria-38-cruiser-3 brand=Bavaria model=38 Cruiser year=2008 status=None act=yes ||| id=351419699395 path=bavaria-40-2 brand=Bavaria model=40 Cruiser year=2008 status=None act=yes ||| id=351443263679 path=bavaria-vision-44-3 brand=Bavaria model=Bavaria Vision 44 year=2008 status=None act=yes ||| id=351443293431 path=bavaria-33-sport brand=Bavaria model=33 Sport year=2008 status=None act=yes ||| id=351361856714 path=bavaria-37-sport-2 brand=Bavaria model=Bavaria 37 sport  year=2008 status=None act=yes
;Fjord 40 Open - 2007;fjord-40-open---2007;Fjord;40 Open;2007;40 fot;;2025-06-16;SIGNATURE_MATCH_ONLY;0;1;id=351481028811 path=22028-fjord-40-open brand=Fjord model=40 Open year=2007 status=None act=yes
;Goldfish 23 Tender - 2018;goldfish-23-tender---2018;Goldfish;23 Tender;2018;25 fot;sold;2023-04-16;MULTIPLE_SIG_CANDIDATES;0;2;id=351414280426 path=goldfish-38-supersport brand=Goldfish model=38 supersport year=2018 status=None act=yes ||| id=351482911936 path=goldfish-38-supersport-021 brand=Goldfish model=38 SuperSport #021 year=2018 status=for-sale act=yes
X;Dufour 44 Performance;dufour-44-performance;Dufour;44 Performance;2006;44 fot;sold;2025-10-02;EXACT_SLUG_PLUS_SIG_DUPES;1;3;id=351419698408 path=dufour-44-performance brand=Dufour model=Dufour 44 Performance year=None status=None act=yes ||| id=351481042123 path=24002-dufour-455-grand-large brand=Dufour model=455 Grand Large year=2006 status=None act=yes ||| id=351419699394 path=dufour-44-performance-2 brand=Dufour model=44 Performance year=2006 status=None act=yes ||| id=351443262694 path=dufour-365-gl brand=Dufour model=365 GL year=2006 status=None act=yes
;Windy 28 Ghibli - 2001;windy-28-ghibli---2001;Windy;28 Ghibli;2001;28 fot;sold;2025-08-08;MULTIPLE_SIG_CANDIDATES;0;6;id=351479078080 path=windy-coho-gt-29 brand=Windy model=Coho GT year=2001 status=None act=yes ||| id=351414280435 path=windy-ghibli-28-2001-algard brand=Windy model=Ghibli year=2001 status=sold act=yes ||| id=351361855728 path=windy-ghibli-2001 brand=Windy model=Windy Ghibli 2001 year=2001 status=None act=yes ||| id=351482911942 path=windy-ghibli-28-2001 brand=Windy model=Windy Ghibli 28 (2001) year=2001 status=None act=yes ||| id=351443281085 path=windy-835 brand=Windy model=Windy 835  year=2001 status=None act=yes ||| id=378417762534 path=None brand=Windy model=None year=2001 status=None act=None
